Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
138,FoldingCoin,FLDC,0.00026907,2267.34228516,99287.69126418,369000000.0,1000000000.0,,-0.853098,-11.1904,59.1925,2014-09-16T00:00:00.000Z,2024-09-23
139,Bitmark,BTM,0.07473978,1263.41674805,98142.30519153,1313120.0003,1313120.0003,,1.93801,1.8637,22.5442,2014-08-19T00:00:00.000Z,2024-09-23
140,Coin2.1,C2,0.00085454,970.6973877,85434.22438759,99976323.0,99976323.0,,2.29678,-1.33067,14.1872,2014-06-08T00:00:00.000Z,2024-09-23
141,Memorycoin,MMC,0.00795384,714.78924561,80119.28531843,10073034.0287852,10073034.0287852,,-4.93619,-30.9104,120.219,2013-12-24T00:00:00.000Z,2024-09-23
142,HOdlcoin,HODL,0.00909895,757.38330078,76978.31937889,8460129.69375,87353146.48125,,6.66322,-1.86947,2.49623,2016-03-18T00:00:00.000Z,2024-09-23
143,BillaryCoin,BLRY,0.00839797,9144.62109375,74931.16639178,8922537.80737668,8922537.80737668,,-0.77593,7.50219,285.383,2016-05-20T00:00:00.000Z,2024-09-23
144,LTBcoin,LTBC,0.00015776,975.10461426,73606.2653301,466564985.2099,466564985.2099,,-0.850806,-27.296,14.6101,2014-08-20T00:00:00.000Z,2024-09-23
145,FlutterCoin,FLT,0.00024083,701.65795898,72468.21424762,300910891.735223,300910891.735223,,-2.74803,-6.45573,19.4834,2014-03-20T00:00:00.000Z,2024-09-23
146,WhiteCoin,XWC,0.0002235,608.00506592,68520.41428943,306584145.993991,306584145.993991,,-0.850811,-8.94736,48.8711,2014-04-18T00:00:00.000Z,2024-09-23
147,Rubies,RBIES,0.00641927,1578.78723145,64749.31868959,10086707.9245639,10086707.9245639,,-12.5939,-14.1612,-12.3397,2016-02-22T00:00:00.000Z,2024-09-23
148,Sphere,SPHR,0.01752474,2031.29760742,54027.72019013,3082940.27603443,3082940.27603443,,17.4808,18.8801,31.3532,2015-05-02T00:00:00.000Z,2024-09-23
149,Adzcoin,ADZ,0.01525255,1631.01818848,47309.14566643,3101720.00602,45101720.00602,84000000.0,-2.48621,-1.22109,-41.7796,2015-12-26T00:00:00.000Z,2024-09-23
