A,Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply,B,URL
,1375,UnMarshal,MARSH,$0.06706,0.04%,0.91%,0.40%,"$3,740,722","$374,927
5,584,843 MARSH","55,784,310 MARSH",,https://coinmarketcap.com/currencies/unmarshal/
,1392,Presearch,PRE,$0.009112,0.18%,4.81%,1.06%,"$3,613,606","$60,421
6,627,423 PRE","396,578,435 PRE",,https://coinmarketcap.com/currencies/presearch/
,1398,Cogito Finance,CGV,$0.03687,1.75%,1.95%,22.78%,"$3,568,543","$106,456
2,884,803 CGV","96,787,938 CGV",,https://coinmarketcap.com/currencies/cogito-protocol/
,1413,Edge Matrix Computing,EMC,$0.1134,1.56%,6.19%,4.70%,"$3,402,772","$223,257
1,971,515 EMC","30,006,982 EMC",,https://coinmarketcap.com/currencies/edge-matrix-computing/
,1455,Ispolink,ISP,$0.001087,0.67%,4.11%,36.00%,"$2,995,522","$508,498
467,205,643 ISP","2,756,425,785 ISP",,https://coinmarketcap.com/currencies/ispolink/
,1458,Bridge Oracle,BRG,$0.0003691,0.04%,1.37%,23.66%,"$2,953,988","$3,137,194
8,529,996,102 BRG","8,002,167,205 BRG",,https://coinmarketcap.com/currencies/bridge-oracle/
,1470,Lambda,LAMB,$0.00168,0.12%,0.47%,8.99%,"$2,766,460","$2,212,714
1,318,585,522 LAMB","1,646,414,198 LAMB",,https://coinmarketcap.com/currencies/lambda/
,1479,PolkaBridge,PBR,$0.03575,0.02%,1.25%,20.49%,"$2,682,382","$167,068
4,658,913 PBR","75,040,488 PBR",,https://coinmarketcap.com/currencies/polkabridge/
,1484,Mozaic,MOZ,$0.01715,0.13%,10.03%,4.89%,"$2,643,117","$52,809
3,079,305 MOZ","154,121,130 MOZ",,https://coinmarketcap.com/currencies/mozaic/
,1499,B-cube.ai,BCUBE,$0.09371,0.00%,0.97%,55.57%,"$2,506,483","$1,643
17,530 BCUBE","26,746,821 BCUBE",,https://coinmarketcap.com/currencies/b-cube-ai/
,1509,Morpheus Infrastructure Node,MIND,$0.001795,0.66%,2.50%,1.79%,"$2,452,376","$66,829
37,057,442 MIND","1,366,201,800 MIND",,https://coinmarketcap.com/currencies/morpheus-labs-v2/
,1517,AXIS Token,AXIS,$0.007514,0.08%,1.10%,5.16%,"$2,406,886","$235
31,283 AXIS","320,303,188 AXIS",,https://coinmarketcap.com/currencies/axis-token/
,1551,ROOBEE,ROOBEE,$0.0005197,0.35%,3.52%,11.05%,"$2,131,644","$186,537
358,945,231 ROOBEE","4,102,063,740 ROOBEE",,https://coinmarketcap.com/currencies/roobee/
